review_id,product_id,review_rating,review_title,review_body,ft_type_100,tokens,gpt,llama,ft_gpt_100,ft_llama_100,ft_bert_adam_100,ft_bert_adamw_100,ft_bert_sgd_100,ft_roberta_adam_100,ft_roberta_adamw_100,ft_roberta_sgd_100,ft_type_50,ft_gpt_50,ft_llama_50,ft_bert_adam_50,ft_bert_adamw_50,ft_bert_sgd_50,ft_roberta_adam_50,ft_roberta_adamw_50,ft_roberta_sgd_50
136,6,3,a little flimsy will update if it deserves it,the entire item is made from plastic which doesnt necessarily mean that its a negative however in this instance its a very flimsy plastic you have to be careful when opening the drawers or they can go off kilter i also got this to sit on top of another 36 k pod storage drawer and tbh it wouldnt feel safe to put my regular sized keurug on top of this onewell see how it goes with normal usage and i may return to change my review for the better,test,110,2,3,2,3,3,2,5,3,3,5,test,2,3,3,3,2,3,3,2
146,6,5,it works great for storage of k cups,no problem storage k cups,test,13,3,5,5,5,5,5,5,5,5,5,test,5,5,5,5,2,5,5,2
151,7,1,cheap is cheap,in just one year of normal kitchen use this mat revealed its true self cheap its glued together the edge turned out to be one big seem which ruptured revealing the bottom surface material a sheet of cardboard thinly coated with a plastic of some sort and the filling a stuffing made of what looks and feels like shredded cardboardeveryday for a year i diligently moved it back into its position on the floor because it refused to stay put even after i placed a nonslip pad underneath like cardboard it was too inflexible to really adhere to the floors surface so when it started to noticeably come apart i went to lowes bought a real gel mat and kissed this mistake goodbye along with my 30,test,138,1,1,1,1,1,1,5,1,1,5,test,1,1,1,1,2,1,1,2
153,7,1,do not recommend im better off standing on the floor,i got this to use with a standing desk at work but my knees have felt worse using the mat than it does on the ground theres no give to the mat and it feels stiff ive tried it with shoes and barefoot but neither seems to help i should have read more of the reviews prior to purchasing i converted to a standing desk because of back and knee pain from sitting but i probably have to look for a new mat because my knee pain has returned,test,100,2,1,1,1,1,1,5,1,1,5,test,1,1,1,1,2,1,1,2
158,7,2,not enough give too tough,not enough give too tough,test,10,1,2,2,2,1,2,5,2,3,5,test,2,2,1,1,2,3,1,2
170,7,5,cushy on my feet,standing at my raised laptop desk is a nicer with the pad,test,18,4,4,5,5,4,4,1,4,4,5,test,5,5,4,3,2,4,5,2
184,8,4,prime day buy,great for prime day price works well not for the picky person,test,16,4,3,4,4,4,4,5,5,4,5,test,4,4,4,4,2,5,5,2
190,8,5,works great,sturdy well made will hold a lot of ties and should last forever,test,15,5,5,5,5,5,5,5,5,5,5,test,5,5,5,5,2,5,5,2
208,9,3,not as good as what i expected,it let the air out,test,12,2,2,3,3,3,3,1,3,3,5,test,3,3,3,3,2,3,3,2
209,9,4,not happy,i used this product to store bedding items and 2 of the bags are not working properly items are well below the fill line but do not stay flat the few bags ive used have stayed flat i would return them but its not worth the hassle of redoing all what ive done already the two bags may just be a fluke but i do recommend this item cuz they do save on space in the extra large jumbo one i fit a queen comforter 2 pillows a queen size plush blanket and 2 sets of bedsheets flat sheet fitted sheet and pillow case wow,test,115,5,3,3,4,1,3,5,2,3,5,test,3,4,2,2,2,3,2,2
223,10,1,contain lead,i bought these hangers about 4 years ago for my daughters nursery i was going to buy them again because we needed more and i noticed all of the reviews stating they contain lead i quickly bought a lead test kit and tested the hangers i previously purchased and the lead test came back negative so i bought more hangers because i had the lead test swabs i decided to test the hangers i ordered for the second time and they came back glaringly testing positive for lead i returned them immediately shame on amazon for selling a childs product containing lead especially after so many reviews are showing the positive teat results,test,123,1,4,1,1,1,1,5,1,1,5,test,1,1,1,1,2,1,1,2
228,10,2,inexpensive for a reason,we wanted some inexpensive baby hangers that still looked nice and the overall good reviews on these convinced me but weve been so disappointed in quality about a third of the hangers have snapped in the couple of months weve been using themif your hangers are never dropped a few feet from the clothes rod or your hand to the floor and are never left on the floor where they could be crawled across by your baby then these might be a good choice for you but for most of us baby hangers need to hold up to very normal gentle wear and tearin the end i wish i would have spent some more money on better quality hangers it would have ended up being the same now that im replacing a third of these,test,150,2,3,2,2,3,3,5,2,3,5,test,2,2,3,3,2,2,2,2
249,11,1,barely works,doesnt throw much of heat would not recommend,test,11,1,2,2,1,1,2,5,2,3,5,test,2,1,2,1,2,2,1,2
267,11,4,temperature control is misleading only 3 levels of heating,this tiny heater is quiet while running there are 3 levels of heating and no temperature sensor module built in therefore it will not pause if the ambient temperature raised it is very portable it heated up my camper during my trips it is very good for heating up a small space i set the heating level at the lowest one it depends on how low the outside temperature is the interior temperature stayed between comfortable 62f to 69f even though it is not a true temperature controlled heater as long as you know your application it is a good heater,test,116,4,4,4,4,4,4,5,4,4,5,test,4,4,4,4,2,4,4,2
273,12,1,tarnished scratchedup waferthin spoons,the spoons i received look terrible and very poor quality they are tarnished and have a lot of scratches i ordered rounded edges and i got pearled edges instead the spoons are wafer thin and the weight of the spoons is so light i think a stiff breeze would blow them awaythere are slight but noticeable variations between the spoons varying lengths bowl sizes neck shapesangles and differences in the depth and definition of the embossing of the handles,test,100,1,2,1,1,1,1,5,1,1,5,test,1,1,2,1,2,1,2,2
281,12,2,odd extra wide shape not a serving spoon,i bought these spoons because i dont like how small teaspoons are and i like the next size up which are sometimes called tablespoons this spoon was uncomfortable to eat with the handle is really thick and its so wide it didnt fit comfortably in my mouth i could get it in if i opened wide i measured and it holds just about exactly 1 tablespoon of water so i think its the shape thats off instead of being oval its wider in the back i think it is also deeper than the typical dinner tablespoon that all said i agree with some reviewers that there spoons would make a good ice cream spoon since they are very sturdy i think well find uses for the spoons just not as everyday dinner spoons theyre too small for serving spoons nobody wants to dish out food tablespoon by tablespoon,test,163,2,3,3,2,3,3,5,2,3,5,test,3,2,3,3,2,3,3,2
308,13,3,not sure how long theyll last,my son used these for the first time yesterday and the belt clip already snapped off one of them they do work well though and my kids had a lot of fun running around with them the sound quality is typical of toy walkies the batteries are very hard to get in they require 4 aaa batteries each which we luckily had on hand but i really had to force them in it was like the made the battery holder slightly too small for the actual batteriesoverall its a decent set and serves its purpose well see how long it lasts,test,111,4,2,3,3,3,3,5,3,4,5,test,3,3,3,3,2,4,4,2
309,13,4,the best value ever,we werent expecting much for the price but these are awesome,test,16,5,5,5,5,5,5,5,5,5,5,test,5,5,5,5,2,5,5,2
381,16,2,huge huge huge,they came packaged very very well not a chip or mar on them however they are huge plates and i was looking for the 10 inches they say in the write up on them the 10 inches appears to be just the inside area minus the 25 inches of rim they end up being the larges plates ive ever had or ever seen huge as for kids using them forget it they are too huge and heavy for children to carry with any comfort that the plates wont end up on your carpeting good for adult company all of whom are not so drunk they dont start flinging them around like frisbees because they will sure as heck break anything they hit including the walls,test,137,3,1,4,1,4,4,5,4,3,5,test,4,1,2,1,2,4,3,2
382,16,2,2nds at best,bent and warped plates zero quality control control,test,12,1,1,1,1,3,1,5,1,1,5,test,1,1,1,3,2,1,1,2
387,16,3,smaller in person,dimensions once received is smaller than described,test,11,2,3,3,3,3,2,1,2,3,5,test,3,3,2,2,2,1,2,2
411,17,3,not as good as what i expected,it let the air out,test,12,1,2,3,3,3,3,1,3,3,5,test,3,3,3,3,2,3,3,2
425,18,2,pretty but beware,this set shows beautifully but that is where this product begins and ends its ridiculously thin the materials used in making this barely qualify this as beddingit belongs in a dorm room or in staging a home for sale nothing that involves interacting with the actual fabric ive washed it twice it releases a blue dust that transfers to everything it comes in contact with i even found the dust in my robot vacuum save your money and buy an item with a substantial thread count and better feel unless the aesthetic is your only factor,test,100,1,1,2,1,3,2,5,2,3,5,test,2,1,2,3,2,2,2,2
439,19,1,the flimsiest blanket i have ever had,i am blown away by the poor quality i was amazed by how small and light weight the box was when it arrived i took it out and spread it over my couch so it could inflate i couldnt believe this could be a bed comforter there is barely any stuffing at all i would almost say there isnt any for the price i knew it wouldnt be luxury but it should be more than 2 sheets i hate to do returns but i think this one needs to go back,test,104,1,1,1,1,1,1,5,1,1,5,test,1,1,1,1,2,1,1,2
448,19,2,felt like plastic,its a shame ive yet to find a blanket that didnt feel like plastic,test,17,1,1,2,1,1,2,5,2,3,5,test,2,1,2,2,2,1,1,2
456,19,4,fair price very lightweight,good quality for the price and was lightweight as expected,test,14,5,4,4,4,4,4,5,4,4,5,test,4,4,4,4,2,4,5,2
458,19,4,comforter,this comforter was for my daughters dorn room she said it served its purpose,test,18,4,3,3,3,4,4,5,4,4,5,test,3,3,4,4,2,4,5,2
471,20,1,these blue towels are awful,i bought these back in february on the advice of an influencer i bought white towels grey towels and these terrible blue towels that i have never been able to use after a shower oi anytime why you ask i would look like a blue smurf from all the blue lint that comes off on my skin i have done everything that i was told to do that would set the color inbut nothing has worked i will never buy another towel from amazonat this point all i have is a pile of blue garbage towels,test,106,1,1,1,1,1,1,5,1,1,5,test,1,1,1,1,2,1,1,2
472,20,2,dont believe that these are no lint towels,i was so excited to see reviews that said these towels didnt leave any lint behind ive only ever owned one set of navy towels that didnt leave lint everywhere all the other sets have left navy lint everywhere when i opened the package i rubbed the towel on my face and arms no lint yay then i washed them before using them no lint left behind in the washing machine yay once they dried i started using them got out of the shower toweled off and ended up looking like a blue smurf if you are wet the navy lint sticks to you like white on rice very disappointed im usually happy with amazon basics but not this time,test,131,2,1,1,1,1,1,5,1,1,5,test,1,1,1,1,2,1,1,2
473,20,2,basics sometimes means cheap quality,amazonbasics brand there is a pretty good rating so i bought three sets 6 of each towel to replace what i currently am using nice bold color and a pretty decent size i am in the process of moving so i only opened 1 package i always wash new towels and new clothes before i wearuse them the 2 hand towels were frayed coming out of the clothes dryer the stitching appeared to give out feels like a durable towel but the fraying was hugely disappointing i will likely be returning all 3 sets and consider a different product,test,114,2,2,2,2,2,2,5,2,3,5,test,2,2,2,3,2,3,2,2
475,20,2,fuzz gets on skin from the towels and in the bathtub,i like the product because its soft but pieces of the towels hand towelsand washcloths all have the fuzz or pieces of the towel comeoff on you when you wash your self or dry yourself so i have to clean my bathroom after every use ive washed all of them and shaken the towels out before each use i cant dry my hands on the towel i have to use papertowels so i dont get the fuzz in my eyes when putting my contacts ini think the tiwels should be better than this i bought 6 setsim disappointed,test,121,2,2,2,2,1,2,5,2,3,5,test,2,2,2,1,2,3,1,2
486,20,4,good towels for the price,these are good cheap towels,test,10,5,4,4,4,4,4,5,4,3,5,test,4,4,4,4,2,4,4,2
492,20,5,just what i wanted,got em for the kitchen work great clean up nice each wash,test,16,4,5,5,5,5,5,5,5,5,5,test,5,5,5,5,2,5,5,2
493,21,1,do not purchase pilled within a month,do not purchase i spent 53 on king size navy sheets for my bed and was happy at first they werent the softest jersey knit sheets ive had but they got better after the first wash however after just a month of use they are already pilled those little balls in the fabric and they now feel rough against my legs i sleep in cotton shorts not flannel pants or sweats so its not like there was any rough fabric rubbing against them to cause the pilling even so it should not have happened so quickly of course i just tried to initiate a return to amazon so i could get my money back and my return window closed a few days ago please do not make the mistake i did the photos are very close up so you can see the little balls of fabric that is all pilled up making the bottom sheet so uncomfortable and scratchy already ugh,test,179,1,1,1,1,1,1,5,1,1,5,test,1,1,1,1,2,1,1,2
506,21,4,good cotton sheets,nice sheets for the price they are comfortable and fairly wrinkle free i was looking for an all cotton sheet that did not have the drapey heavy feel of egyptian style high thread count these work for me lightweight and fairly soft but not too hot launder well without shrinkingthe packaging was strange sheets were folded in a bag worse than i could fold them but they were new fabric with factory smell still they would be perfect if they were a little softer and the fabric was just a little thicker and less stretchy the stretch makes the fitted sheet very big for my 13 mattress but that could be good if you have a thick memory foam mattress,test,131,4,3,4,3,4,4,5,4,4,5,test,4,3,4,4,2,4,4,2
515,22,1,not happy,first off i need to say that i bought a lot of these towels in black and in greyi washed them separately before putting them in my closet what a mess the lint that came off of these was crazymy washer was loaded with the fuzz as well as my dryer and when i pulled them out i always shake them and again the fuzz went all over and my laundry areas needed to be swept several of them also came apart at the edges i always keep packaging but this time i threw it all away or i would return them never again i will also put this on the review for the grey towels,test,121,1,1,1,1,1,2,5,1,1,5,test,1,1,1,1,2,2,1,2
538,23,1,cheap thin,i returned it i do purchase other amazon basic products happy with them,test,15,2,1,2,1,3,2,5,3,4,5,test,2,1,4,1,2,4,2,2
547,23,3,not worth the cost,i ordered the navy waffletexture curtainprosdeep navy colornice looking texturepretty sheenconsextremely thin it felt like hanging a very thin sheethangs awkwardly with a thicker inner shower curtain liner i can see at least an inch of the white inner liner at the top when hung together unlike the two nicer shower curtains ive had in the past there are gapey awkward gaps between the holes when hung the holes for hooks are also not reenforced it would be easy to unravel or accidentally poke a hole through the holesthis navy curtain also hangs really low almost dragging on the floori wouldnt buy it again and will probably replace it soon hopefully the other curtains in this line are higher quality,test,149,1,2,2,2,3,3,5,2,3,5,test,2,2,2,1,2,2,1,2
557,24,1,too stiff,better to cover my firewood a blue tarp would work better,test,15,1,1,2,1,2,2,5,2,3,5,test,2,1,3,2,2,3,3,2
568,24,3,too thick and heavy,im really should return this its way too thick and heavy,test,15,1,1,2,1,3,3,5,2,3,5,test,2,1,1,1,2,1,1,2
592,25,4,this is a great dutch oven,i ordered this on a whim as all of our pots and pans are really light weight and cooking has become nothing but a how badly did we burn the pan this time situationthis pan is heavy it cooks everything beautifully as it holds the heat so the food cooks perfectlythe one issue i do want to point out is that this pan gets very very hot the handles lid pot hold the heat and it is really important to use some type of hot pad when moving i will buy another one soon in a smaller size a great buy,test,110,5,5,5,5,4,3,5,4,4,5,test,5,5,4,5,2,4,4,2
598,25,5,love this dutch oven,this dutch oven obviously is very heavy as it is cast iron but i love knowing that it isnt releasing toxic chemicals in my food i also like that if i have to i can use this over a camp fire not ideal for the outside coating i know but when the power goes out and i cant use my oven i at least have this as an option i just started canning and many recipes ask for a heavy bottom pot so this is great its large for all those vegetables and fruits that you can all at once i do love the creamy white inside im used to teflon and stainless steal so this for some reason makes me happy,test,131,5,5,5,5,5,5,5,5,5,5,test,5,5,5,5,2,5,5,2
628,27,1,missing mounting screws,my original order and the replacement order were both missing the mounting screws,test,16,1,1,1,1,2,2,5,1,1,5,test,1,1,2,1,2,2,1,2
633,27,2,oh well ok i guess,i ordered them in black well while the initial construction looks good out of the box and like it will hold the weight i need the item i was sent was not the item i ordered i ordered a 1 78 inch diameter rod holders and what i got was 1 14 inch diameter and that measurement is generous so all of these wooden dowel rods no longer fit anything and i have to go to lowes to swap them out instead of trying to deal with amazon if you dont mind maybe having to change your project because you get something that is falsly advertised then go for it but id suggest a different seller two stars not what i asked for but ill make it work displeased,test,141,2,2,2,2,2,2,5,2,3,5,test,2,2,2,2,2,3,1,2
645,27,4,smaller than expected,these are pretty well made and seem sturdy enough to hold a curtain rod on my patio cover they are smaller than i thought theyd be see pic next to pencil for reference theyve got a nice powder coating on them and well see how well they hold up under the arizona sun in summer they come with anchors and screws so youll just need a thin enough rod to fit through them most curtain rods ive seen are too wide to fit through these but these should serve their purpose well once you get the correct fit,test,106,4,4,4,4,4,4,5,3,4,5,test,4,4,3,3,2,4,4,2
646,27,4,nice aesthetics,this is a nice ceiling mount aesthetically speaking once installedthere are a few issues ill note below but overall theyre nice for the priceceiling mounting method is flawed the spring anchors have to be screwed upwards so if you need to remove these mounts theyre lostusually for this mount it is a headless bolt that goes up and you secure the mount with a lock lugthis way it can be removed and reinstalled without losing the spring anchorthe screw heads are small so when tightened to the ceiling the mount can still be shifted side to sidethe screw that secures the pole requires an allen key and if using a thicker pole itll stick out unsightly so,test,135,3,3,4,3,3,3,5,3,3,5,test,4,3,4,3,2,4,4,2
670,28,4,good but not terrific,cotton jersey sheetswhat a marvelous invention ive used them for years these particular sheets are a good value based on value the sheets are a solid 4 stars but not idealthe important stuff theyre very comfortable fit a 14 mattress with room to spare launder well and theyre cotton theyre softer than muslin percale and even high thread count egyptian cotton sheets so why just 4 starsthe annoyance theyre thinner than other jersey sheets ive bought in the same price range and thinner than an average outerwear teeshirtthe following comment doesnt affect the sheets value its an its my own fault gripei should have read more reviews and remembered that colors render differently on computer screens the sheets are not true redmore a funereal maroon or muddy burgundy than the bright warm cheery red sheets ive had beforenext time i buy these sheets ill just pick another color,test,178,4,4,4,4,4,4,5,4,4,5,test,4,4,4,3,2,3,3,2
675,28,5,surprisingly good quality,honestly i did not truly expect these to be so nice they are a tad oversized so the fitted sheet tucks all the way under our 12 mattress theyre pretty soft especially after a wash i put them into the dryer on regular heat with wool dryer balls and they came out perfectly fine cozy enough for winter but leo pretty breathable in our hot nc summers im going to buy a few more sets for our guest room and theyd make a pretty good gift too they are by no means fancy high thread count or anything but theyre very comfy and dont break the bank,test,116,5,5,5,5,5,5,5,5,4,5,test,5,5,5,5,2,5,5,2
678,29,1,the flimsiest blanket i have ever had,i am blown away by the poor quality i was amazed by how small and light weight the box was when it arrived i took it out and spread it over my couch so it could inflate i couldnt believe this could be a bed comforter there is barely any stuffing at all i would almost say there isnt any for the price i knew it wouldnt be luxury but it should be more than 2 sheets i hate to do returns but i think this one needs to go back,test,104,2,1,1,1,1,1,5,1,1,5,test,1,1,1,1,2,1,1,2
694,29,3,there is no pillow shams with it very disappointed,no pillows shams very disappointed,test,16,1,1,1,1,2,2,5,2,3,5,test,1,1,1,1,2,2,1,2
698,29,4,nice cover very light,the cover was light as expected color good reasonable value,test,14,5,4,4,4,4,4,5,4,4,5,test,4,4,4,4,2,4,5,2
711,30,1,the smell is unbearable toxic like its made from plastic,i was super excited to get this blanket living in massachusetts and having below zero temperatures i opened up the box and thought this is going to be the best blanket until i cut open the plastic the blanket was sealed in it was the most chemical toxic smell ever it was hard to breathe in my bedroom i tried spraying fabric freshener on it and nothing helpedmy eyes started to itch in the first 15 minutes of being on my bed what is this blanket made of is it even safe for humans the smell is definitely not something i want to smell all nighti need a refund,test,124,1,1,1,1,1,1,5,1,1,5,test,1,1,1,1,2,1,1,2
720,30,3,all products advertised should be included,we never received the twin sheet that was supposed to be included,test,18,1,2,1,2,3,1,5,2,3,5,test,1,2,1,1,2,2,1,2
731,30,5,soft and comfy,i ordered the black one it looks good in my room and comfy,test,16,4,5,5,5,5,5,5,5,5,5,test,5,5,5,5,2,5,5,2
734,31,1,cheaply made most likely will break,dislikes 1 made of 12 inch thick particle sawdust board with micro thin plastic coating hangs by keyhole slots in the back meaning 14 inch of saw dust holding it to the wall particle board not noted for its sheer vertical strength i dont see it hanging more than 1 adult coat on it without it breaking 2 if you need instructions this isnt for you a paper ruler is included with wording that says measure the product and mount it 3 price is a real gouge for what it is you can do better a big box stores for 25 to 30 percent less 4 if you wonder why i didnt return it i live remote and would have to pay to fly it to a ups facility and then pay for that part not worth it,test,158,2,1,1,1,2,1,5,1,1,5,test,2,1,2,1,2,2,1,2
735,31,1,the worst thing to install,ive mounted plenty of things on walls tvs guitars etc so this should be a breeze two screwswrongthis was the most frustrating thing to install ever this piece of crap was manufactured with 0 tolerance as to where the screws need to be so if its a millimeter off it wont mount the paper ruler that they give you has no predefined markings on it at all nor is it the width of the coat rack of course after drilling like 20 holes in my wall and finally getting it to perfection of course its not level after scraping the mount on the screws the back of the coat rack has already started to fall apart i definitely would not buy this again or recommend it,test,138,1,1,1,1,1,1,5,1,1,5,test,1,1,1,1,2,1,1,2
775,32,4,not up to par,pretty but not as full as in picture,test,12,3,3,3,3,4,4,5,3,3,5,test,3,3,4,4,2,4,4,2
820,34,2,felt like plastic,its a shame ive yet to find a blanket that didnt feel like plastic,test,17,2,2,2,2,1,2,5,2,3,5,test,2,2,2,2,2,1,1,2
831,34,4,nice cover very light,the cover was light as expected color good reasonable value,test,14,4,4,4,4,4,4,5,4,4,5,test,4,4,4,4,2,4,5,2
881,36,3,it does the job,it does the job of protecting the mattress our twins have wet the bed almost nightly and its only failed once that being said the failure happened a year or some into this products life with almost daily washings i do follow the wash instructions which is very important if you dont follow them you will kill the waterproofing on your first wash the waterproof part is starting to fall off i think its held up pretty well for how much its used it would have been better if the material lasted longer hence only 3 stars for some kid that might only wet the bed a few times a month this product should last a good while i am ordering 4 more i ordered 4 because we have two beds and we cycle them so we have one set in the wash one set on the mattresses,test,157,3,3,3,3,3,3,5,4,4,5,test,3,3,3,3,2,4,4,2
893,37,1,what is that smell,as soon as i got my sheet set i opened it to throw in the wash because i was exciting being this set has so many amazing reviews i couldnt help but notice the strong smell the box its self had smells like skol spearmint iykyk put them in a long wash cycle and they still came out smelling like that no way no how am i sleeping with such a smell not to mention the biggest complement that stood out to me was how lightweight and smooth these are the sheet set i received is so thin you can see right through it and i dont feel like its overly soft my personal opinion dont spend the 40 on these go to the store and buy a higher quality set for close to the same amount im bummed because how do you even return such a thing once youve opened it and washed it now im out 40 and no new sheets,test,177,2,2,1,2,1,1,5,1,1,5,test,1,2,1,1,2,1,1,2
913,37,4,affordable but not as soft as i want,this lavender color is super pretty but i dont really like the way it feels on my skin im sensitive to textures though so it might be fine for people who are less particular about it theyre very affordable so while i think id give them 3 stars overall i felt like i had to give them 4 because it was kind of silly of me to expect better for this price i think i just have to accept that i have to spend more on sheets to get the quality my princess in the pea skin demands,test,110,3,3,4,4,4,4,5,4,4,5,test,4,4,4,4,2,4,4,2
926,38,3,ok quality but nothing special,ive used these for about 3 years now in comparison to a set of jersey cotton sheets that are at least 30 years old these have not held up in the last three years the way that the other set has in 30 the fitted sheet has pilled quite badly although ive found that the bottom of the fabric doesnt pill in the same way so if you dont mind the seams sticking out by the pillows where the comforter wouldnt cover they can still be soft i have the heather grey color and the color has held up well and i there are no thin spots or holes over all they are comfy and are similar quality to other brands of jersey sheets i have bought at higher price points from other stores perfectly serviceable but nothing special,test,152,3,4,3,4,3,3,5,3,3,5,test,3,4,3,3,2,4,4,2
936,38,4,best buy,so soft and cozy definitely our new go to for sheets,test,13,5,5,4,4,4,4,5,5,5,5,test,5,4,4,4,2,5,5,2
942,39,1,how are these rated so high,purchased these solely on the amazon reviews and wow was i misled no idea why these are rated the way they are must be the price three issuesthe fabric is extremely cheap and looks very cheap second the sheets are very slippy and when making the bed it takes longer as they just slide around and tough to make the bed neatly and quickly they are also very oversized i like a meticulous looking bed with sheets and pillowcases that fit snugly these are not thati have to try to tuck the excess fabric on the sides and end between the mattresses and when putting my pillows on display i have to shift them to one end each time and the pillowcases are enormous my husband even commented on how large and sloppy these sheets are so that may tell you something i do not recommend these even for the cheap price you get what you pay for,test,172,1,1,1,1,1,1,5,1,1,5,test,1,1,3,1,2,2,1,2
950,39,2,lured in by reviews,i bought these based on the amazing reviewsthe great news they fit as they should and the color is as shown the all around elastic is greatthe horrible news i laundered these twice to get rid of the horrible chemical smell and try to soften them a bit i put these on the bed without telling my partner the first thing they said after climbing into bed was are these new i can tell we made it 20 minutes before i was stripping the bed in the middle of the night to put on different sheets we typically use a big brand name sheet which retail at a much hired price as soon as i changed the sheets they said this is so much better the other ones feel like a trash bag in comparison sadly these will probably never leave the linen closet again,test,155,5,2,2,2,2,2,5,2,2,5,test,2,2,2,1,2,3,1,2
961,39,4,good for the price,these sheets are soft and cool they are very thin but thats good during the summer months in the south however dont expect a good thread count quality for the price i paid for these twin sheets like 10 each i am not complaining and iam keeping for the guest bedroom as they will not be slept on daily i feel that i wouldnt purchase them for my king bed where i sleep every night as they may not last long before they wear however they are wrinkle resistant and look amazing it may be good to have an extra back up pair for my room though regardless really for the price they are very nice they are smooth and satiny like a thin sateen the white is see through but not if you have a mattress protector on bed in white color as i do the white is a beautiful crisp white color,test,164,4,4,4,4,4,4,5,4,4,5,test,4,4,4,4,2,4,4,2
963,39,4,affordable but not as soft as i want,this lavender color is super pretty but i dont really like the way it feels on my skin im sensitive to textures though so it might be fine for people who are less particular about it theyre very affordable so while i think id give them 3 stars overall i felt like i had to give them 4 because it was kind of silly of me to expect better for this price i think i just have to accept that i have to spend more on sheets to get the quality my princess in the pea skin demands,test,110,3,3,4,3,4,4,5,4,4,5,test,4,3,4,4,2,4,4,2
971,40,1,sorry do not like these,disliked everything about themwill be returning,test,12,1,1,1,1,1,2,5,2,3,5,test,1,1,1,1,2,2,1,2
997,40,5,i buy a 12pack every year,i buy these for bathing and facewashing and am a repeat customer i live in an area with a lot of iron in the water and even though have a filter for the washing machine water these will get a little dingy over time so about once a year i treat myself to a new pack and retire the previous dozen to the cleaning supplies where i get another year or so out of them i think ive bought these 3 times and will continue to do so its a great price for a good product by the way the softness depends on whether you use dryer sheets but regardless they have a nice feel,test,127,4,5,5,5,4,4,5,5,4,5,test,5,5,4,4,2,5,5,2
