review_id,review_rating,review
78,1,waste of time and money epic faili am glad this worked for some people i think they are poorly made and a waste they are hard bulky themselves and the pump didnt work for me was it a defective pump i attempted to read the instructions off the side of the bag and realized after bag one that you do not take the little pink thing out tried bag 2 and it just didnt work i dont have the kind of hose vacuum cleaner that would make the air and there are so many of them too many the purpose is to save space not need a space to store all those bags total waste of my time and money now i have to put all the things i was hoping to put in these bags away and pack up the bags and drop them off for a return annoying a non solution
79,1,was super excited for these until it cost me 6 pillows i never leave reviews but feel like i have to this time i got these on prime day and was super excited for them because we had extra pillows and comforters that were taking up a lot of extra space i got them mid july added pillows to them and just over a month later happened to look at them and found the pillows covered in mold we washed them with bleach and they came out still covered in black spots so much for no mold no smell no humidity and reusable six pillows and two jumbo bags in the trash very concerned about my comforters and blankets in other bags some of which are sentimental
80,1,didnt work substandard plastic its taken me a couple of weeks to write a reviewim unimpressed to say the leasti purchased these in anticipation of a closet clean outrevamp well i finally got to the closet this weekplace blankets in this jumbo bag and sealed itbag pictured on the way to the closet shelf the bag ripped wide open from carrying it across the roomput some blankets in another large bag and managed to get it to the closet next day all the air was back the vacuum seal had failedttied again twice more and failed againwill not purchase these again btwit takes an eternity to vacuum the bags with the little pump that comes with themso if your trying to get a good work out these bags will do the job
81,1,it does not hold compression just buy regular space bags these bags absolutely suck theyre horribly made and do not keep the compression i reached out to amazon about this issue because obviously the nature of these bags is that you see how they perform overtime i put some sweaters away in my room and a few months later realize that theyre all decompressed because of how poorly the sealing on the sides of the bags are theyre just sweaters in a bag at this point there is no action that they can take on it which is hilarious coming from this company that takes action on so much
83,2,seemed great then half broke the pump helps get all the air out or i guess you can use a vacuum cleaner much better than the old rollup bagshowever it took a few years but nearly half of the bags i received have failed and all in the same way i used them properly did not overfill were not stored in extreme temperatures etc on half of the bags the cap split open now the bags are useless because they cant seal properly kind of a bummer and amazon cantwont do anything about it these shouldnt have an expiration date
85,2,not as good as it seemed the plastic used to make these is not as pliable as i was expecting you know how a more rigid plastic will break and split easier than a more pliable one will i filled one of these bagsfollowing the rules npt overfilling and only soft clothing and took all the air out successfully and thought everything was going well i then realized that i forgot to pack an item of clothing and opened the bag to add the item when i went to take the air out i noticed that it wasnt happening as quickly as it had beforethere was a split in the plasticthere was nothing sharp inside or outside that could have done this the only thing i can think of is that the material the bag is made out of is more rigid than i was expecting i dont know how else to explain it at any rate we ended up not using these at alldisappointing
89,3,not as good as what i expected it let the air out
90,4,not happy i used this product to store bedding items and 2 of the bags are not working properly items are well below the fill line but do not stay flat the few bags ive used have stayed flat i would return them but its not worth the hassle of redoing all what ive done already the two bags may just be a fluke but i do recommend this item cuz they do save on space in the extra large jumbo one i fit a queen comforter 2 pillows a queen size plush blanket and 2 sets of bedsheets flat sheet fitted sheet and pillow case wow
94,5,must have for every home get these amazing space saving bags as soon as you can they have brought me to a whole new level of organization my linen closet now has sheets blankets pillows and towels separated and easy to access im buying more just in case they sell out theyre huge hold a lot and are super easy to compress takes time if you use the handheld device but its not a chore to vacuum the air out watch the video theyve included in the description theyre not lying about quantity of items you can put in each bag just get them now and thank me later
95,5,love it for headache free moving out process didnt expect this to be so good
97,1,its dangerous fraudulent i am a chemist these sheets are not only not 100 cotton despite the label to the contrary they are obviously treated and reek to high heaven with toxic chemicals every chemical sensor from our air filter set off the alarm so we moved it to the garage since it was delivered at night another story the garage had to be aerated for 2 days unbelievable and this listing says the company has taken a climate pledge no way this is none other than illegal entry of a toxic substances to the us i will be sending them directly to authorities dont buy amazon should be penalized for such flagrant disregard for the health of its customers
102,2,pillow feels rough this pillow case is not soft and ill have to replace it
106,2,tight fit the size is a bit smaller from our other pilow case
110,3,too long not a standard size too long looks shabby quality is fine
111,3,ok size and color were good fabric rough after washing maybe will soften with time
113,3,too short love the quality but these cases are unfortunately too short for my standard sized pillows
117,4,nice color my 9 year old grandson found these easy to put on his new pillows
118,5,amazon basics pillow cases i made a purchase for two amazon basics down pillows as well as these amazon basics pillow cases to go with them my current bed set was purchase was purchased from amazon basics and i notice a material difference between these specific pillow cases and the pillow cases that came with the amazon basics bed set but that does not bother me the pillow cases have enough room to fit the amazon basics pillows with some room to spare which is wonderful however if you want a pillow case that has opens in the middle or zips up then these arent the ones for you since the opening is on the sideend of the pillow case
120,5,my husband loves these pillow cases so very softwell made
122,5,these are great very comfy and fit well good quality
123,1,good idea not so good execution i loved the idea of stashing coffee pods conveniently but was disappointed with the unit itself i filled the drawers and started using it just on a shelf nothing on top of it the left drawer which i used first was a little sticky but pulled out with little trouble the middle drawer is hopelessly stuck filled with 12 pods stuck inside i will continue to try to finesse the drawer so i dont have to destroy the unit to get the coffee out but im not hopeful the right drawer is working fine so far i will continue to try to fix this until i end up having a fit of rage and chucking it into the trash bin
126,2,weak it arrived quickly and not broken so thats a plus holds the kcups 36 which catch as you slide the drawer open and closed bought this one to set directly under the coffee pot on my coffee bar set the coffee pot on it and the middle drawer sticks and doesnt close without making it close due to the weight of the coffee pot which isnt any heavier than any other coffee pot ive owned the plastic is just way too thin should have just build one myself or got a metal one thought the plastic may be better bc i wouldnt have to seal it if wooden and wouldnt have to worry about the finish coming off if metal save your money and just buy one thats metal or wooden so it can at least hold a coffee pot if putting on counters or in a cabinet without any weight on it then it would probably be fine even the color doesnt make it look better just looks cheap
130,2,i would look elsewhere when it arrived it was broken and could not open the is drawer
134,3,check your measurements before you buy its just to big for my counter
135,3,feels cheap the pods just sit in the tray i have had better ones
136,3,a little flimsy will update if it deserves it the entire item is made from plastic which doesnt necessarily mean that its a negative however in this instance its a very flimsy plastic you have to be careful when opening the drawers or they can go off kilter i also got this to sit on top of another 36 k pod storage drawer and tbh it wouldnt feel safe to put my regular sized keurug on top of this onewell see how it goes with normal usage and i may return to change my review for the better
137,3,its ok but would not buy again its a very nice looking coffee holder and my keurig sits on top perfectly but its not super sturdy i dont think id trust it to hold the next size up coffee maker the drawers for the coffee pods are made with cheap plastic and stick when trying to pull it in or out the size of the drawers is weird tooits almost too big width wise for a standard kcup but the length is about half a cup short the kcups dont sit in there neatlythey tilt to one side overall i wouldnt recommend or buy again
140,4,great space saver coffee maker fits on top great works well and great space saver
142,5,coffee maker my wife loves how fast and easy to make a cup of coffee
146,5,it works great for storage of k cups no problem storage k cups
148,1,not a comfortable pad this is basically just a rubber pad it is not cushy memory foam i got it for a standing pad under my sit stand desk it isnt good for that it doesnt allow you to stand longer in any way because it is hard and doesnt have memory foam not really sure it does anything other than provide traction on a slippery floor and im certain people buy it more for sit stand desks or for same support standing at sink for a long time im sure it has its applications but not recommending this for sit stand needs must have memory foam for that
150,1,trip hazard the mats are comfortable but the ends have turned up and are a trip hazard
151,1,cheap is cheap in just one year of normal kitchen use this mat revealed its true self cheap its glued together the edge turned out to be one big seem which ruptured revealing the bottom surface material a sheet of cardboard thinly coated with a plastic of some sort and the filling a stuffing made of what looks and feels like shredded cardboardeveryday for a year i diligently moved it back into its position on the floor because it refused to stay put even after i placed a nonslip pad underneath like cardboard it was too inflexible to really adhere to the floors surface so when it started to noticeably come apart i went to lowes bought a real gel mat and kissed this mistake goodbye along with my 30
152,1,disappointed these mats have one major flaw they curl slightly at each corner presenting us with a tripping hazard i bought two of these mats im disappointed because previous amazon basics products have been high quality and equal to or better than the higher priced competitorsi have had them a couple of weeks laying flat on the floor they are being used indoors over tile and over wood they are not exposed to any heat source other than the ambient room temperature i have tried rolling the corners downward to reverse the curl but it returns within an hour or so it appears that top surface of the mat is stiffer probably for easy cleaning and the bottom surface is more stretchy therefore the top surface pulls the stretchy surface upwardthey will probably end up in my workshop where will be less likely to trip someone i will be shopping for new indoor mats
153,1,do not recommend im better off standing on the floor i got this to use with a standing desk at work but my knees have felt worse using the mat than it does on the ground theres no give to the mat and it feels stiff ive tried it with shoes and barefoot but neither seems to help i should have read more of the reviews prior to purchasing i converted to a standing desk because of back and knee pain from sitting but i probably have to look for a new mat because my knee pain has returned
154,1,dont rely on the name amazon bought two of these mats a little over two years ago for the kitchen in front of sink and stove had relied on the name amazon usually a good decision but not this time the mats walk on hard floors which is not a deal breaker i shuffle them back into place a few times a day unfortunately the top layer is peeling off from the base has gone on for the better part of a year now so were at the point where we have to toss them out as theyve become a tripping hazard for us and a possible health hazard for our dog who tends to eat stuff off the floor my advice dont buy these
155,1,trip over this thing daily i have owned this mat for well over a year now it looks good is comfortable and is easy to clean however no matter what i try i can not get the edges to lay flat rolled them up and taped them stuck it in the sun for hours nothing works it will slowly go back to rolled up edges within the hour and i will be tripping on it within minutes of that i have come close to throwing this thing out the door more than once because of this amazon if your listening please fix this issue and maybe replace the ones that people have complained about
158,2,not enough give too tough not enough give too tough
160,2,not durable these mats were great when we received them but they deteriorated significantly after the first year at 15 years we had to use duct tape around the edges to address peeling 25 years later the surface area began cracking and pulling away they havent looked good in our house beyond year 1 but i do all i can to prevent sending things to the dump when they still have utilityif you have the means consider investing more money upfront to get a more durable product that wont end up in the landfill i found a company that makes antifatigue kitchen mats that dont delaminate and come with a 20 year warranty they cost 4x as much but from my experience with these mats they should last over 10x longer
163,3,edges curled up the four edges curled up and we trip on it all the time
164,3,works ok i like this product but it is a little harder than i was hoping for
168,4,fatigue mat love it wish it was a little bit thicker
169,4,adequate better than the hard floor im in my mid50s not aging well arthritis and plantar fasciitis ive had better cushioned mats in the past this one is ok not super cushiony not the best to stand on for more than short periods of time but it is better than the hard floor underneath this one is in front of my kitchen sink easy to clean and doesnt soak in splashes this mat is probably perfectly fine for fatigue relief i just need something a little thicker and softer to relieve my pain
170,5,cushy on my feet standing at my raised laptop desk is a nicer with the pad
173,5,feet saver pairs great with stand up desk must have
175,1,completely useless it is simply not functional at all
178,2,poor design design makes it difficult to see your selection and choose a tie
182,3,it works hard to get ties on all the hangers
184,4,prime day buy great for prime day price works well not for the picky person
185,4,takes less room with dress pants than jeans the sturdiest of hanger
187,4,genius way to organize this does the job and at a great price bought this for my young college son who recently has had to wear suits and ties to organize the few ties we got him i can see him having this for years to come as he accumulates more ties only thing i wish is that the wire slats were just a touch wider stick out further on each side to keep the ties more securemaybe they sell this product in different sizes and i didnt notice so if i had to buy it again id be more keen to their width otherwise we love it
189,5,worked exactly as expected i use them for ties and belts they work just as advertised
190,5,works great sturdy well made will hold a lot of ties and should last forever
191,5,organization must made sorting my boyfriends toes simple makes them easy to access as well when needed
193,5,tie rack i needed to hang all my ties and this rack works perfectly
194,5,tie hanger this is so helpful and helps to use the space in our closet better
195,5,your ties will thank you its a great value for the money
197,1,waste of time and money epic faili am glad this worked for some people i think they are poorly made and a waste they are hard bulky themselves and the pump didnt work for me was it a defective pump i attempted to read the instructions off the side of the bag and realized after bag one that you do not take the little pink thing out tried bag 2 and it just didnt work i dont have the kind of hose vacuum cleaner that would make the air and there are so many of them too many the purpose is to save space not need a space to store all those bags total waste of my time and money now i have to put all the things i was hoping to put in these bags away and pack up the bags and drop them off for a return annoying a non solution
198,1,was super excited for these until it cost me 6 pillows i never leave reviews but feel like i have to this time i got these on prime day and was super excited for them because we had extra pillows and comforters that were taking up a lot of extra space i got them mid july added pillows to them and just over a month later happened to look at them and found the pillows covered in mold we washed them with bleach and they came out still covered in black spots so much for no mold no smell no humidity and reusable six pillows and two jumbo bags in the trash very concerned about my comforters and blankets in other bags some of which are sentimental
199,1,didnt work substandard plastic its taken me a couple of weeks to write a reviewim unimpressed to say the leasti purchased these in anticipation of a closet clean outrevamp well i finally got to the closet this weekplace blankets in this jumbo bag and sealed itbag pictured on the way to the closet shelf the bag ripped wide open from carrying it across the roomput some blankets in another large bag and managed to get it to the closet next day all the air was back the vacuum seal had failedttied again twice more and failed againwill not purchase these again btwit takes an eternity to vacuum the bags with the little pump that comes with themso if your trying to get a good work out these bags will do the job
200,1,it does not hold compression just buy regular space bags these bags absolutely suck theyre horribly made and do not keep the compression i reached out to amazon about this issue because obviously the nature of these bags is that you see how they perform overtime i put some sweaters away in my room and a few months later realize that theyre all decompressed because of how poorly the sealing on the sides of the bags are theyre just sweaters in a bag at this point there is no action that they can take on it which is hilarious coming from this company that takes action on so much
202,2,seemed great then half broke the pump helps get all the air out or i guess you can use a vacuum cleaner much better than the old rollup bagshowever it took a few years but nearly half of the bags i received have failed and all in the same way i used them properly did not overfill were not stored in extreme temperatures etc on half of the bags the cap split open now the bags are useless because they cant seal properly kind of a bummer and amazon cantwont do anything about it these shouldnt have an expiration date
204,2,not as good as it seemed the plastic used to make these is not as pliable as i was expecting you know how a more rigid plastic will break and split easier than a more pliable one will i filled one of these bagsfollowing the rules npt overfilling and only soft clothing and took all the air out successfully and thought everything was going well i then realized that i forgot to pack an item of clothing and opened the bag to add the item when i went to take the air out i noticed that it wasnt happening as quickly as it had beforethere was a split in the plasticthere was nothing sharp inside or outside that could have done this the only thing i can think of is that the material the bag is made out of is more rigid than i was expecting i dont know how else to explain it at any rate we ended up not using these at alldisappointing
208,3,not as good as what i expected it let the air out
209,4,not happy i used this product to store bedding items and 2 of the bags are not working properly items are well below the fill line but do not stay flat the few bags ive used have stayed flat i would return them but its not worth the hassle of redoing all what ive done already the two bags may just be a fluke but i do recommend this item cuz they do save on space in the extra large jumbo one i fit a queen comforter 2 pillows a queen size plush blanket and 2 sets of bedsheets flat sheet fitted sheet and pillow case wow
213,5,must have for every home get these amazing space saving bags as soon as you can they have brought me to a whole new level of organization my linen closet now has sheets blankets pillows and towels separated and easy to access im buying more just in case they sell out theyre huge hold a lot and are super easy to compress takes time if you use the handheld device but its not a chore to vacuum the air out watch the video theyve included in the description theyre not lying about quantity of items you can put in each bag just get them now and thank me later
214,5,love it for headache free moving out process didnt expect this to be so good
218,1,the hangers have lead do not purchase i was beyond excited to hang up my sons clothes in his new closet after a couple months i needed to purchase more hangers i saw new reviews stating it has lead i decided to test the hangers i purchased already before buying new ones i tested 6 hangers and all tested for lead also just out of curiosity i wanted to test some other things the other 3 items i tested did not have lead i just hope my son or myself have not been affected i will definitely need to make a doctors appointment to get tested this is my first post ever on amazon and i just wanted to warn other parents because i would want the sameto amazon you guys need to immediately remove this item off of the site these are kids hangers i dont understand how its allowed and sold in america its 2022 im not sure why people even use lead on hangers
219,1,contains lead weve been using these hangers for over a year and kept buying more for our girls as needed this last order i saw the horrifying reviews that said they contained lead i immediately purchased the 3m lead testers and if the areas tested turn red or pink the darker the pink the higher the content of lead the item would be positive for lead as shown in these pictures both the mint and purple hangers have dangerously high levels of lead i feel awful that ive exposed my young girls to this we have a 4 year check up in a couple days and will request a blood test will update review once we have results but all these hangers are going in the trashshame on you amazon
222,1,positive for lead my 5 year old has broken several of these if the hanger gets stepped on it breaks i was coming online to buy more and saw that several reviews mentioned lead i purchased 3m lead testers and tested these hangers as well as a different brand of hangers that my 3 year old uses these ones were positive for lead as the metal part of the hanger was full of red marks redlead the other brand we have showed no marks i couldnt believe it and tested a second amazon hanger to confirm it also had red marks indicating lead im really disappointed in amazon selling childrens hangers with lead this is a safety issue amazon should recall these hangers stop selling these and perform safety testing on their products to ensure kids do not get exposed to lead
223,1,contain lead i bought these hangers about 4 years ago for my daughters nursery i was going to buy them again because we needed more and i noticed all of the reviews stating they contain lead i quickly bought a lead test kit and tested the hangers i previously purchased and the lead test came back negative so i bought more hangers because i had the lead test swabs i decided to test the hangers i ordered for the second time and they came back glaringly testing positive for lead i returned them immediately shame on amazon for selling a childs product containing lead especially after so many reviews are showing the positive teat results
